data_preprocessing_name,cross_validation_method,metric_name,data_name,predicted_client_name,mean,std,count
corrected,Leave-One-Cohort-Out,F1_score,Balanced Simulated Data,lab1,1.0,0.0,10
corrected,Leave-One-Cohort-Out,F1_score,Balanced Simulated Data,lab2,1.0,0.0,10
corrected,Leave-One-Cohort-Out,F1_score,Balanced Simulated Data,lab3,1.0,0.0,10
corrected,Leave-One-Cohort-Out,F1_score,Balanced Simulated Data (Rotational Batch Effect),lab1,1.0,0.0,10
corrected,Leave-One-Cohort-Out,F1_score,Balanced Simulated Data (Rotational Batch Effect),lab2,0.9214956121052742,0.0062568670497300015,10
corrected,Leave-One-Cohort-Out,F1_score,Balanced Simulated Data (Rotational Batch Effect),lab3,1.0,0.0,10
corrected,Leave-One-Cohort-Out,F1_score,Microarray Data,GSE14407,0.7868498833290123,0.014659456718644206,10
corrected,Leave-One-Cohort-Out,F1_score,Microarray Data,GSE26712,0.9695190554126724,0.002331720749969035,10
corrected,Leave-One-Cohort-Out,F1_score,Microarray Data,GSE38666,0.8521401627897134,0.02394635947510089,10
corrected,Leave-One-Cohort-Out,F1_score,Microarray Data,GSE40595,1.0,0.0,10
corrected,Leave-One-Cohort-Out,F1_score,Microarray Data,GSE6008,0.7837037037037037,0.0,10
corrected,Leave-One-Cohort-Out,F1_score,Microarray Data,GSE69428,0.5621123515860358,0.0,10
corrected,Leave-One-Cohort-Out,F1_score,Microbiome Data,China1,0.7614300980758604,0.02949913481364769,10
corrected,Leave-One-Cohort-Out,F1_score,Microbiome Data,China3,0.8276940382062253,0.021574619142401066,10
corrected,Leave-One-Cohort-Out,F1_score,Microbiome Data,China5,0.7034756251455325,0.016115527687110814,10
corrected,Leave-One-Cohort-Out,F1_score,Microbiome Data,France1,0.7298059113619024,0.02024502594021626,10
corrected,Leave-One-Cohort-Out,F1_score,Microbiome Data,Germany1,0.7808955974062761,0.021450598709768953,10
corrected,Leave-One-Cohort-Out,F1_score,Microbiome Data,Germany2,0.7917668490645852,0.015123008116332028,10
corrected,Leave-One-Cohort-Out,F1_score,Mildly Imbalanced Simulated Data,lab1,1.0,0.0,10
