Sample_geo_ID	title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	tissue:ch1
GSM997591	Normal ovarian stroma - sample 5	GSM997591	Public on Sep 11 2014	Sep 04 2012	Sep 11 2014	RNA	1	Microdissected normal ovarian stroma	Homo sapiens	tissue: Microdissected normal ovarian stroma	total RNA	Cancer specimens were obtained from the primary tumors of previously untreated ovarian cancer patients at the Brigham and Women’s Hospital (Boston, MA). Normal human ovarian surface epithelium (HOSE) specimens were obtained from the normal ovaries of patients at the time of surgery for benign indications. All specimens were collected under protocols approved by the institutional review boards of the institution.	Frozen sections were affixed onto FRAME slides (Leica, Wetzlar, Germany), fixed in 70% alcohol and stained by 1% methyl green. Air-dried tissue sections were then taken for microdissection using a MD LMD laser microdissecting microscope (Leica). Different types of tissues were dissected and harvested. Total RNA was isolated using the RNeasy Micro kit (Qiagen).	Biotin	RNA samples were amplified and labeled using the two-cycle amplification protocol (Affymetrix).	9606	For each sample, 15 microgram of amplified biotinylated RNA was hybridized to a Human U133 Plus 2.0 GeneChip array.	GeneChip Scanner 3000 (Affymetrix) was used for array scanning and data collection.	Gene expression data from microdissected normal ovarian stroma	Microarray data analysis software, GeneSpring V.11.0.2 (Agilent Technologies Inc.) was used to perform the primary data analysis. RMA summerization algorithm was used and baseline transformation to median of all samples were performed.	GPL570	Tsz-Lun,,Yeung	Gynecologic Oncology and Reproductive Medicine	University of Texas MD Anderson Cancer Center	1515 Holcombe Blvd. Unit 1362	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM997nnn/GSM997591/suppl/GSM997591_NS5.CEL.gz	54675	Microdissected normal ovarian stroma
GSM997592	Normal ovarian stroma - sample 13	GSM997592	Public on Sep 11 2014	Sep 04 2012	Sep 11 2014	RNA	1	Microdissected normal ovarian stroma	Homo sapiens	tissue: Microdissected normal ovarian stroma	total RNA	Cancer specimens were obtained from the primary tumors of previously untreated ovarian cancer patients at the Brigham and Women’s Hospital (Boston, MA). Normal human ovarian surface epithelium (HOSE) specimens were obtained from the normal ovaries of patients at the time of surgery for benign indications. All specimens were collected under protocols approved by the institutional review boards of the institution.	Frozen sections were affixed onto FRAME slides (Leica, Wetzlar, Germany), fixed in 70% alcohol and stained by 1% methyl green. Air-dried tissue sections were then taken for microdissection using a MD LMD laser microdissecting microscope (Leica). Different types of tissues were dissected and harvested. Total RNA was isolated using the RNeasy Micro kit (Qiagen).	Biotin	RNA samples were amplified and labeled using the two-cycle amplification protocol (Affymetrix).	9606	For each sample, 15 microgram of amplified biotinylated RNA was hybridized to a Human U133 Plus 2.0 GeneChip array.	GeneChip Scanner 3000 (Affymetrix) was used for array scanning and data collection.	Gene expression data from microdissected normal ovarian stroma	Microarray data analysis software, GeneSpring V.11.0.2 (Agilent Technologies Inc.) was used to perform the primary data analysis. RMA summerization algorithm was used and baseline transformation to median of all samples were performed.	GPL570	Tsz-Lun,,Yeung	Gynecologic Oncology and Reproductive Medicine	University of Texas MD Anderson Cancer Center	1515 Holcombe Blvd. Unit 1362	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM997nnn/GSM997592/suppl/GSM997592_NS13.CEL.gz	54675	Microdissected normal ovarian stroma
GSM997593	Normal ovarian stroma - sample 14	GSM997593	Public on Sep 11 2014	Sep 04 2012	Sep 11 2014	RNA	1	Microdissected normal ovarian stroma	Homo sapiens	tissue: Microdissected normal ovarian stroma	total RNA	Cancer specimens were obtained from the primary tumors of previously untreated ovarian cancer patients at the Brigham and Women’s Hospital (Boston, MA). Normal human ovarian surface epithelium (HOSE) specimens were obtained from the normal ovaries of patients at the time of surgery for benign indications. All specimens were collected under protocols approved by the institutional review boards of the institution.	Frozen sections were affixed onto FRAME slides (Leica, Wetzlar, Germany), fixed in 70% alcohol and stained by 1% methyl green. Air-dried tissue sections were then taken for microdissection using a MD LMD laser microdissecting microscope (Leica). Different types of tissues were dissected and harvested. Total RNA was isolated using the RNeasy Micro kit (Qiagen).	Biotin	RNA samples were amplified and labeled using the two-cycle amplification protocol (Affymetrix).	9606	For each sample, 15 microgram of amplified biotinylated RNA was hybridized to a Human U133 Plus 2.0 GeneChip array.	GeneChip Scanner 3000 (Affymetrix) was used for array scanning and data collection.	Gene expression data from microdissected normal ovarian stroma	Microarray data analysis software, GeneSpring V.11.0.2 (Agilent Technologies Inc.) was used to perform the primary data analysis. RMA summerization algorithm was used and baseline transformation to median of all samples were performed.	GPL570	Tsz-Lun,,Yeung	Gynecologic Oncology and Reproductive Medicine	University of Texas MD Anderson Cancer Center	1515 Holcombe Blvd. Unit 1362	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM997nnn/GSM997593/suppl/GSM997593_NS14.CEL.gz	54675	Microdissected normal ovarian stroma
GSM997594	Normal ovarian stroma - sample 18	GSM997594	Public on Sep 11 2014	Sep 04 2012	Sep 11 2014	RNA	1	Microdissected normal ovarian stroma	Homo sapiens	tissue: Microdissected normal ovarian stroma	total RNA	Cancer specimens were obtained from the primary tumors of previously untreated ovarian cancer patients at the Brigham and Women’s Hospital (Boston, MA). Normal human ovarian surface epithelium (HOSE) specimens were obtained from the normal ovaries of patients at the time of surgery for benign indications. All specimens were collected under protocols approved by the institutional review boards of the institution.	Frozen sections were affixed onto FRAME slides (Leica, Wetzlar, Germany), fixed in 70% alcohol and stained by 1% methyl green. Air-dried tissue sections were then taken for microdissection using a MD LMD laser microdissecting microscope (Leica). Different types of tissues were dissected and harvested. Total RNA was isolated using the RNeasy Micro kit (Qiagen).	Biotin	RNA samples were amplified and labeled using the two-cycle amplification protocol (Affymetrix).	9606	For each sample, 15 microgram of amplified biotinylated RNA was hybridized to a Human U133 Plus 2.0 GeneChip array.	GeneChip Scanner 3000 (Affymetrix) was used for array scanning and data collection.	Gene expression data from microdissected normal ovarian stroma	Microarray data analysis software, GeneSpring V.11.0.2 (Agilent Technologies Inc.) was used to perform the primary data analysis. RMA summerization algorithm was used and baseline transformation to median of all samples were performed.	GPL570	Tsz-Lun,,Yeung	Gynecologic Oncology and Reproductive Medicine	University of Texas MD Anderson Cancer Center	1515 Holcombe Blvd. Unit 1362	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM997nnn/GSM997594/suppl/GSM997594_NS18.CEL.gz	54675	Microdissected normal ovarian stroma
GSM997595	Normal ovarian stroma - sample 28	GSM997595	Public on Sep 11 2014	Sep 04 2012	Sep 11 2014	RNA	1	Microdissected normal ovarian stroma	Homo sapiens	tissue: Microdissected normal ovarian stroma	total RNA	Cancer specimens were obtained from the primary tumors of previously untreated ovarian cancer patients at the Brigham and Women’s Hospital (Boston, MA). Normal human ovarian surface epithelium (HOSE) specimens were obtained from the normal ovaries of patients at the time of surgery for benign indications. All specimens were collected under protocols approved by the institutional review boards of the institution.	Frozen sections were affixed onto FRAME slides (Leica, Wetzlar, Germany), fixed in 70% alcohol and stained by 1% methyl green. Air-dried tissue sections were then taken for microdissection using a MD LMD laser microdissecting microscope (Leica). Different types of tissues were dissected and harvested. Total RNA was isolated using the RNeasy Micro kit (Qiagen).	Biotin	RNA samples were amplified and labeled using the two-cycle amplification protocol (Affymetrix).	9606	For each sample, 15 microgram of amplified biotinylated RNA was hybridized to a Human U133 Plus 2.0 GeneChip array.	GeneChip Scanner 3000 (Affymetrix) was used for array scanning and data collection.	Gene expression data from microdissected normal ovarian stroma	Microarray data analysis software, GeneSpring V.11.0.2 (Agilent Technologies Inc.) was used to perform the primary data analysis. RMA summerization algorithm was used and baseline transformation to median of all samples were performed.	GPL570	Tsz-Lun,,Yeung	Gynecologic Oncology and Reproductive Medicine	University of Texas MD Anderson Cancer Center	1515 Holcombe Blvd. Unit 1362	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM997nnn/GSM997595/suppl/GSM997595_NS28.CEL.gz	54675	Microdissected normal ovarian stroma
GSM997596	Normal ovarian stroma - sample 41	GSM997596	Public on Sep 11 2014	Sep 04 2012	Sep 11 2014	RNA	1	Microdissected normal ovarian stroma	Homo sapiens	tissue: Microdissected normal ovarian stroma	total RNA	Cancer specimens were obtained from the primary tumors of previously untreated ovarian cancer patients at the Brigham and Women’s Hospital (Boston, MA). Normal human ovarian surface epithelium (HOSE) specimens were obtained from the normal ovaries of patients at the time of surgery for benign indications. All specimens were collected under protocols approved by the institutional review boards of the institution.	Frozen sections were affixed onto FRAME slides (Leica, Wetzlar, Germany), fixed in 70% alcohol and stained by 1% methyl green. Air-dried tissue sections were then taken for microdissection using a MD LMD laser microdissecting microscope (Leica). Different types of tissues were dissected and harvested. Total RNA was isolated using the RNeasy Micro kit (Qiagen).	Biotin	RNA samples were amplified and labeled using the two-cycle amplification protocol (Affymetrix).	9606	For each sample, 15 microgram of amplified biotinylated RNA was hybridized to a Human U133 Plus 2.0 GeneChip array.	GeneChip Scanner 3000 (Affymetrix) was used for array scanning and data collection.	Gene expression data from microdissected normal ovarian stroma	Microarray data analysis software, GeneSpring V.11.0.2 (Agilent Technologies Inc.) was used to perform the primary data analysis. RMA summerization algorithm was used and baseline transformation to median of all samples were performed.	GPL570	Tsz-Lun,,Yeung	Gynecologic Oncology and Reproductive Medicine	University of Texas MD Anderson Cancer Center	1515 Holcombe Blvd. Unit 1362	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM997nnn/GSM997596/suppl/GSM997596_NS41.CEL.gz	54675	Microdissected normal ovarian stroma
GSM997597	Normal ovarian stroma - sample 43	GSM997597	Public on Sep 11 2014	Sep 04 2012	Sep 11 2014	RNA	1	Microdissected normal ovarian stroma	Homo sapiens	tissue: Microdissected normal ovarian stroma	total RNA	Cancer specimens were obtained from the primary tumors of previously untreated ovarian cancer patients at the Brigham and Women’s Hospital (Boston, MA). Normal human ovarian surface epithelium (HOSE) specimens were obtained from the normal ovaries of patients at the time of surgery for benign indications. All specimens were collected under protocols approved by the institutional review boards of the institution.	Frozen sections were affixed onto FRAME slides (Leica, Wetzlar, Germany), fixed in 70% alcohol and stained by 1% methyl green. Air-dried tissue sections were then taken for microdissection using a MD LMD laser microdissecting microscope (Leica). Different types of tissues were dissected and harvested. Total RNA was isolated using the RNeasy Micro kit (Qiagen).	Biotin	RNA samples were amplified and labeled using the two-cycle amplification protocol (Affymetrix).	9606	For each sample, 15 microgram of amplified biotinylated RNA was hybridized to a Human U133 Plus 2.0 GeneChip array.	GeneChip Scanner 3000 (Affymetrix) was used for array scanning and data collection.	Gene expression data from microdissected normal ovarian stroma	Microarray data analysis software, GeneSpring V.11.0.2 (Agilent Technologies Inc.) was used to perform the primary data analysis. RMA summerization algorithm was used and baseline transformation to median of all samples were performed.	GPL570	Tsz-Lun,,Yeung	Gynecologic Oncology and Reproductive Medicine	University of Texas MD Anderson Cancer Center	1515 Holcombe Blvd. Unit 1362	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM997nnn/GSM997597/suppl/GSM997597_NS43.CEL.gz	54675	Microdissected normal ovarian stroma
GSM997598	Normal ovarian stroma - sample 47	GSM997598	Public on Sep 11 2014	Sep 04 2012	Sep 11 2014	RNA	1	Microdissected normal ovarian stroma	Homo sapiens	tissue: Microdissected normal ovarian stroma	total RNA	Cancer specimens were obtained from the primary tumors of previously untreated ovarian cancer patients at the Brigham and Women’s Hospital (Boston, MA). Normal human ovarian surface epithelium (HOSE) specimens were obtained from the normal ovaries of patients at the time of surgery for benign indications. All specimens were collected under protocols approved by the institutional review boards of the institution.	Frozen sections were affixed onto FRAME slides (Leica, Wetzlar, Germany), fixed in 70% alcohol and stained by 1% methyl green. Air-dried tissue sections were then taken for microdissection using a MD LMD laser microdissecting microscope (Leica). Different types of tissues were dissected and harvested. Total RNA was isolated using the RNeasy Micro kit (Qiagen).	Biotin	RNA samples were amplified and labeled using the two-cycle amplification protocol (Affymetrix).	9606	For each sample, 15 microgram of amplified biotinylated RNA was hybridized to a Human U133 Plus 2.0 GeneChip array.	GeneChip Scanner 3000 (Affymetrix) was used for array scanning and data collection.	Gene expression data from microdissected normal ovarian stroma	Microarray data analysis software, GeneSpring V.11.0.2 (Agilent Technologies Inc.) was used to perform the primary data analysis. RMA summerization algorithm was used and baseline transformation to median of all samples were performed.	GPL570	Tsz-Lun,,Yeung	Gynecologic Oncology and Reproductive Medicine	University of Texas MD Anderson Cancer Center	1515 Holcombe Blvd. Unit 1362	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM997nnn/GSM997598/suppl/GSM997598_NS47.CEL.gz	54675	Microdissected normal ovarian stroma
GSM997599	Ovarian cancer stroma - sample 317	GSM997599	Public on Sep 11 2014	Sep 04 2012	Sep 11 2014	RNA	1	Microdissected ovarian cancer stroma	Homo sapiens	tissue: Microdissected ovarian cancer stroma	total RNA	Cancer specimens were obtained from the primary tumors of previously untreated ovarian cancer patients at the Brigham and Women’s Hospital (Boston, MA). Normal human ovarian surface epithelium (HOSE) specimens were obtained from the normal ovaries of patients at the time of surgery for benign indications. All specimens were collected under protocols approved by the institutional review boards of the institution.	Frozen sections were affixed onto FRAME slides (Leica, Wetzlar, Germany), fixed in 70% alcohol and stained by 1% methyl green. Air-dried tissue sections were then taken for microdissection using a MD LMD laser microdissecting microscope (Leica). Different types of tissues were dissected and harvested. Total RNA was isolated using the RNeasy Micro kit (Qiagen).	Biotin	RNA samples were amplified and labeled using the two-cycle amplification protocol (Affymetrix).	9606	For each sample, 15 microgram of amplified biotinylated RNA was hybridized to a Human U133 Plus 2.0 GeneChip array.	GeneChip Scanner 3000 (Affymetrix) was used for array scanning and data collection.	Gene expression data from microdissected ovarian cancer stroma	Microarray data analysis software, GeneSpring V.11.0.2 (Agilent Technologies Inc.) was used to perform the primary data analysis. RMA summerization algorithm was used and baseline transformation to median of all samples were performed.	GPL570	Tsz-Lun,,Yeung	Gynecologic Oncology and Reproductive Medicine	University of Texas MD Anderson Cancer Center	1515 Holcombe Blvd. Unit 1362	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM997nnn/GSM997599/suppl/GSM997599_317S.CEL.gz	54675	Microdissected ovarian cancer stroma
GSM997600	Ovarian cancer stroma - sample 324	GSM997600	Public on Sep 11 2014	Sep 04 2012	Sep 11 2014	RNA	1	Microdissected ovarian cancer stroma	Homo sapiens	tissue: Microdissected ovarian cancer stroma	total RNA	Cancer specimens were obtained from the primary tumors of previously untreated ovarian cancer patients at the Brigham and Women’s Hospital (Boston, MA). Normal human ovarian surface epithelium (HOSE) specimens were obtained from the normal ovaries of patients at the time of surgery for benign indications. All specimens were collected under protocols approved by the institutional review boards of the institution.	Frozen sections were affixed onto FRAME slides (Leica, Wetzlar, Germany), fixed in 70% alcohol and stained by 1% methyl green. Air-dried tissue sections were then taken for microdissection using a MD LMD laser microdissecting microscope (Leica). Different types of tissues were dissected and harvested. Total RNA was isolated using the RNeasy Micro kit (Qiagen).	Biotin	RNA samples were amplified and labeled using the two-cycle amplification protocol (Affymetrix).	9606	For each sample, 15 microgram of amplified biotinylated RNA was hybridized to a Human U133 Plus 2.0 GeneChip array.	GeneChip Scanner 3000 (Affymetrix) was used for array scanning and data collection.	Gene expression data from microdissected ovarian cancer stroma	Microarray data analysis software, GeneSpring V.11.0.2 (Agilent Technologies Inc.) was used to perform the primary data analysis. RMA summerization algorithm was used and baseline transformation to median of all samples were performed.	GPL570	Tsz-Lun,,Yeung	Gynecologic Oncology and Reproductive Medicine	University of Texas MD Anderson Cancer Center	1515 Holcombe Blvd. Unit 1362	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM997nnn/GSM997600/suppl/GSM997600_324S.CEL.gz	54675	Microdissected ovarian cancer stroma
