Sample_geo_ID	title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	treatment_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_phone	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	sample type:ch1	tissue:ch1
GSM1701025	patient_1_HGSOC	GSM1701025	Public on Sep 29 2015	Jun 01 2015	Dec 17 2015	RNA	1	patient_1_HGSOC	Homo sapiens	sample type: tissue	tissue: LCM from cryosection (HGSOC)	FTSC were transformed with retroviral infection of hTERT, SV40 and c-myc and then subcutaneously transplanted into highly immunocompromised NSG (NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ) mice.	total RNA	PicoPure® RNA Isolation Kit (Life Technologies)	Biotin	3' IVT PLUS Kit (affymetrix)	9606	GeneChip® Hybridization, Wash, and Stain Kit (affymetrix)	GeneChip® Hybridization, Wash, and Stain Kit (affymetrix)	LCM from cryosection (HGSOC).	Expression console, Partek Genome Suite 6.6	GPL570	Frank,,McKeon	mckeon.xian@gmail.com	8608372486	Biology and Biochemistry	University of Houston	3455 Cullen Blvd	Houston	TX	77004	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1701nnn/GSM1701025/suppl/GSM1701025_060909_birrer1_565670_HGU133Plus2.CEL.gz	33362	tissue	LCM from cryosection (HGSOC)
GSM1701026	patient_2_HGSOC	GSM1701026	Public on Sep 29 2015	Jun 01 2015	Dec 17 2015	RNA	1	patient_2_HGSOC	Homo sapiens	sample type: tissue	tissue: LCM from cryosection (HGSOC)	FTSC were transformed with retroviral infection of hTERT, SV40 and c-myc and then subcutaneously transplanted into highly immunocompromised NSG (NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ) mice.	total RNA	PicoPure® RNA Isolation Kit (Life Technologies)	Biotin	3' IVT PLUS Kit (affymetrix)	9606	GeneChip® Hybridization, Wash, and Stain Kit (affymetrix)	GeneChip® Hybridization, Wash, and Stain Kit (affymetrix)	LCM from cryosection (HGSOC).	Expression console, Partek Genome Suite 6.6	GPL570	Frank,,McKeon	mckeon.xian@gmail.com	8608372486	Biology and Biochemistry	University of Houston	3455 Cullen Blvd	Houston	TX	77004	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1701nnn/GSM1701026/suppl/GSM1701026_060909_birrer2_37218_HGU133Plus2.CEL.gz	33362	tissue	LCM from cryosection (HGSOC)
GSM1701027	patient_3_HGSOC	GSM1701027	Public on Sep 29 2015	Jun 01 2015	Dec 17 2015	RNA	1	patient_3_HGSOC	Homo sapiens	sample type: tissue	tissue: LCM from cryosection (HGSOC)	FTSC were transformed with retroviral infection of hTERT, SV40 and c-myc and then subcutaneously transplanted into highly immunocompromised NSG (NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ) mice.	total RNA	PicoPure® RNA Isolation Kit (Life Technologies)	Biotin	3' IVT PLUS Kit (affymetrix)	9606	GeneChip® Hybridization, Wash, and Stain Kit (affymetrix)	GeneChip® Hybridization, Wash, and Stain Kit (affymetrix)	LCM from cryosection (HGSOC).	Expression console, Partek Genome Suite 6.6	GPL570	Frank,,McKeon	mckeon.xian@gmail.com	8608372486	Biology and Biochemistry	University of Houston	3455 Cullen Blvd	Houston	TX	77004	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1701nnn/GSM1701027/suppl/GSM1701027_060909_birrer3_7599_HGU133Plus2.CEL.gz	33362	tissue	LCM from cryosection (HGSOC)
GSM1701028	patient_4_HGSOC	GSM1701028	Public on Sep 29 2015	Jun 01 2015	Dec 17 2015	RNA	1	patient_4_HGSOC	Homo sapiens	sample type: tissue	tissue: LCM from cryosection (HGSOC)	FTSC were transformed with retroviral infection of hTERT, SV40 and c-myc and then subcutaneously transplanted into highly immunocompromised NSG (NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ) mice.	total RNA	PicoPure® RNA Isolation Kit (Life Technologies)	Biotin	3' IVT PLUS Kit (affymetrix)	9606	GeneChip® Hybridization, Wash, and Stain Kit (affymetrix)	GeneChip® Hybridization, Wash, and Stain Kit (affymetrix)	LCM from cryosection (HGSOC).	Expression console, Partek Genome Suite 6.6	GPL570	Frank,,McKeon	mckeon.xian@gmail.com	8608372486	Biology and Biochemistry	University of Houston	3455 Cullen Blvd	Houston	TX	77004	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1701nnn/GSM1701028/suppl/GSM1701028_060909_birrer4_64702_HGU133Plus2.CEL.gz	33362	tissue	LCM from cryosection (HGSOC)
GSM1701029	patient_5_HGSOC	GSM1701029	Public on Sep 29 2015	Jun 01 2015	Dec 17 2015	RNA	1	patient_5_HGSOC	Homo sapiens	sample type: tissue	tissue: LCM from cryosection (HGSOC)	FTSC were transformed with retroviral infection of hTERT, SV40 and c-myc and then subcutaneously transplanted into highly immunocompromised NSG (NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ) mice.	total RNA	PicoPure® RNA Isolation Kit (Life Technologies)	Biotin	3' IVT PLUS Kit (affymetrix)	9606	GeneChip® Hybridization, Wash, and Stain Kit (affymetrix)	GeneChip® Hybridization, Wash, and Stain Kit (affymetrix)	LCM from cryosection (HGSOC).	Expression console, Partek Genome Suite 6.6	GPL570	Frank,,McKeon	mckeon.xian@gmail.com	8608372486	Biology and Biochemistry	University of Houston	3455 Cullen Blvd	Houston	TX	77004	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1701nnn/GSM1701029/suppl/GSM1701029_060909_birrer5_8719_HGU133Plus2.CEL.gz	33362	tissue	LCM from cryosection (HGSOC)
GSM1701030	patient_6_HGSOC	GSM1701030	Public on Sep 29 2015	Jun 01 2015	Dec 17 2015	RNA	1	patient_6_HGSOC	Homo sapiens	sample type: tissue	tissue: LCM from cryosection (HGSOC)	FTSC were transformed with retroviral infection of hTERT, SV40 and c-myc and then subcutaneously transplanted into highly immunocompromised NSG (NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ) mice.	total RNA	PicoPure® RNA Isolation Kit (Life Technologies)	Biotin	3' IVT PLUS Kit (affymetrix)	9606	GeneChip® Hybridization, Wash, and Stain Kit (affymetrix)	GeneChip® Hybridization, Wash, and Stain Kit (affymetrix)	LCM from cryosection (HGSOC).	Expression console, Partek Genome Suite 6.6	GPL570	Frank,,McKeon	mckeon.xian@gmail.com	8608372486	Biology and Biochemistry	University of Houston	3455 Cullen Blvd	Houston	TX	77004	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1701nnn/GSM1701030/suppl/GSM1701030_060909_birrer6_25686_HGU133Plus2.CEL.gz	33362	tissue	LCM from cryosection (HGSOC)
GSM1701031	patient_7_HGSOC	GSM1701031	Public on Sep 29 2015	Jun 01 2015	Dec 17 2015	RNA	1	patient_7_HGSOC	Homo sapiens	sample type: tissue	tissue: LCM from cryosection (HGSOC)	FTSC were transformed with retroviral infection of hTERT, SV40 and c-myc and then subcutaneously transplanted into highly immunocompromised NSG (NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ) mice.	total RNA	PicoPure® RNA Isolation Kit (Life Technologies)	Biotin	3' IVT PLUS Kit (affymetrix)	9606	GeneChip® Hybridization, Wash, and Stain Kit (affymetrix)	GeneChip® Hybridization, Wash, and Stain Kit (affymetrix)	LCM from cryosection (HGSOC).	Expression console, Partek Genome Suite 6.6	GPL570	Frank,,McKeon	mckeon.xian@gmail.com	8608372486	Biology and Biochemistry	University of Houston	3455 Cullen Blvd	Houston	TX	77004	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1701nnn/GSM1701031/suppl/GSM1701031_060909_birrer7_8302_HGU133Plus2.CEL.gz	33362	tissue	LCM from cryosection (HGSOC)
GSM1701032	patient_8_HGSOC	GSM1701032	Public on Sep 29 2015	Jun 01 2015	Dec 17 2015	RNA	1	patient_8_HGSOC	Homo sapiens	sample type: tissue	tissue: LCM from cryosection (HGSOC)	FTSC were transformed with retroviral infection of hTERT, SV40 and c-myc and then subcutaneously transplanted into highly immunocompromised NSG (NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ) mice.	total RNA	PicoPure® RNA Isolation Kit (Life Technologies)	Biotin	3' IVT PLUS Kit (affymetrix)	9606	GeneChip® Hybridization, Wash, and Stain Kit (affymetrix)	GeneChip® Hybridization, Wash, and Stain Kit (affymetrix)	LCM from cryosection (HGSOC).	Expression console, Partek Genome Suite 6.6	GPL570	Frank,,McKeon	mckeon.xian@gmail.com	8608372486	Biology and Biochemistry	University of Houston	3455 Cullen Blvd	Houston	TX	77004	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1701nnn/GSM1701032/suppl/GSM1701032_060909_birrer8_53354_HGU133Plus2.CEL.gz	33362	tissue	LCM from cryosection (HGSOC)
GSM1701033	patient_9_HGSOC	GSM1701033	Public on Sep 29 2015	Jun 01 2015	Dec 17 2015	RNA	1	patient_9_HGSOC	Homo sapiens	sample type: tissue	tissue: LCM from cryosection (HGSOC)	FTSC were transformed with retroviral infection of hTERT, SV40 and c-myc and then subcutaneously transplanted into highly immunocompromised NSG (NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ) mice.	total RNA	PicoPure® RNA Isolation Kit (Life Technologies)	Biotin	3' IVT PLUS Kit (affymetrix)	9606	GeneChip® Hybridization, Wash, and Stain Kit (affymetrix)	GeneChip® Hybridization, Wash, and Stain Kit (affymetrix)	LCM from cryosection (HGSOC).	Expression console, Partek Genome Suite 6.6	GPL570	Frank,,McKeon	mckeon.xian@gmail.com	8608372486	Biology and Biochemistry	University of Houston	3455 Cullen Blvd	Houston	TX	77004	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1701nnn/GSM1701033/suppl/GSM1701033_060909_birrer9_32068_HGU133Plus2.CEL.gz	33362	tissue	LCM from cryosection (HGSOC)
GSM1701034	patient_10_HGSOC	GSM1701034	Public on Sep 29 2015	Jun 01 2015	Dec 17 2015	RNA	1	patient_10_HGSOC	Homo sapiens	sample type: tissue	tissue: LCM from cryosection (HGSOC)	FTSC were transformed with retroviral infection of hTERT, SV40 and c-myc and then subcutaneously transplanted into highly immunocompromised NSG (NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ) mice.	total RNA	PicoPure® RNA Isolation Kit (Life Technologies)	Biotin	3' IVT PLUS Kit (affymetrix)	9606	GeneChip® Hybridization, Wash, and Stain Kit (affymetrix)	GeneChip® Hybridization, Wash, and Stain Kit (affymetrix)	LCM from cryosection (HGSOC).	Expression console, Partek Genome Suite 6.6	GPL570	Frank,,McKeon	mckeon.xian@gmail.com	8608372486	Biology and Biochemistry	University of Houston	3455 Cullen Blvd	Houston	TX	77004	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1701nnn/GSM1701034/suppl/GSM1701034_061009_birrer10_79560R_HGU133Plus2.CEL.gz	33362	tissue	LCM from cryosection (HGSOC)
