"MSP"	"ERS2637868"	"ERS2637867"	"ERS2637866"	"ERS2637865"	"ERS2637863"	"ERS2637861"	"ERS2637859"	"ERS2637858"	"ERS2637857"	"ERS2637856"	"ERS2637855"	"ERS2637854"	"ERS2637853"	"ERS2637852"	"ERS2637851"	"ERS2637849"	"ERS2637848"	"ERS2637847"	"ERS2637845"	"ERS2637844"	"ERS2637843"	"ERS2637842"	"ERS2637841"	"ERS2637839"	"ERS2637838"	"ERS2637837"	"ERS2637836"	"ERS2637835"	"ERS2637834"	"ERS2637833"	"ERS2637832"	"ERS2637831"	"ERS2637830"	"ERS2637829"	"ERS2637828"	"ERS2637827"	"ERS2637826"	"ERS2637825"	"ERS2637824"	"ERS2637822"	"ERS2637821"	"ERS2637820"	"ERS2637818"	"ERS2637817"	"ERS2637816"	"ERS2637815"	"ERS2637814"	"ERS2637813"	"ERS2637812"	"ERS2637811"	"ERS2637810"	"ERS2637809"	"ERS2637808"	"ERS2637807"	"ERS2637806"	"ERS2637805"	"ERS2637804"	"ERS2637803"	"ERS2637801"	"ERS2637800"	"ERS2637799"	"ERS2637798"	"ERS2637797"	"ERS2637795"	"ERS2637794"	"ERS2637792"	"ERS2637791"	"ERS2637790"	"ERS2637789"	"ERS2637788"	"ERS2637787"
"msp_0003"	2599	0	95	666	2688	0	0	1042	63	0	966	5291	4496	6290	0	31	0	0	0	0	1151	334	13948	1063	0	1733	0	70	1304	3192	1855	0	9723	2899	1027	921	14	211	0	0	1945	69	672	935	0	3799	0	2479	441	7005	5564	3212	33	27144	0	0	0	0	3193	310	831	1515	25697	635	2713	36	808	0	44	360	0
"msp_0005"	78	15	71	156	4829	81	400	106	24	18	923	74260	22	142	240	170	0	10	10	0	0	220	615	53	107	628	112	0	16	2242	43	1946	278	186	0	527	147	0	8	3112	34	51	30	11589	0	272	0	36	1198	83	476	2988	27182	275	28	358	9	607	40	663	343	74811	0	204	4893	92	2159	70	85476	35	57
"msp_0007"	2633	5914	4726	2196	953	1310	3850	1413	66	2223	6323	1043	0	2239	131	10183	543	0	2440	295	2289	2741	4473	47	5946	10788	12440	4074	4297	9830	319	11825	4207	3382	0	548	177	1144	223	3601	2631	68	1375	1643	0	3045	0	4932	327	582	32	2137	34	0	2574	1262	816	2723	4806	124	3121	0	0	1935	13577	8359	268	37	147	266	1079
"msp_0008"	0	17835	0	0	0	0	0	355	423	5676	0	0	0	0	0	0	2740	14	0	6259	1199	1192	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	302	12952	0	0	3650	0	106	0	0	0	15	0	158	24	914	0	972	0	0	347	0	0	0	0	0	0
"msp_0009"	0	68	0	14	155	0	30	0	0	0	26	0	0	0	62	13	250	0	198	71	19	0	0	38	14	207	30	0	0	107	143	201	22	312	0	0	107	0	0	268	0	0	0	0	0	13	60	0	105	52	10	0	83	0	0	30	0	0	103	14	574	37	0	0	7	188	0	21	29	0	36
"msp_0010"	0	3879	650	1002	2268	0	0	0	5	67	508	1370	0	0	1316	3457	67	0	0	0	0	0	0	196	352	0	4851	244	22	6962	2866	7048	10	0	0	167	3314	361	1308	0	1542	117	192	0	0	36	1186	536	0	705	3562	0	0	0	41	0	0	0	0	379	0	0	2395	65	57397	95	0	216	0	1064	0
"msp_0011"	792	0	529	151	4600	6	1350	173	19	557	913	803	7422	3656	903	1709	507	273	0	1109	7213	371	2719	351	1779	8579	1975	2265	110	448	3391	1461	456	1546	153	203	845	5899	330	2204	1558	43	22	233	0	717	5978	1592	21	911	483	4915	2859	789	1528	664	2066	1459	602	3678	11595	0	737	9752	14612	0	29	1969	1281	11	396
"msp_0012"	3167	2778	4741	5910	6162	1140	1397	553	71	5357	2447	1807	1353	1259	1480	1491	11418	4062	20123	2039	6647	3702	3111	2484	2085	9548	0	1535	1313	0	4636	3373	8521	6138	465	2171	14	5749	3320	2506	1240	600	490	1819	22	1848	8339	9	7356	1853	4588	1079	11078	1557	6096	2732	57	2581	28	7736	3524	2017	2357	1663	6023	11	3076	4955	478	777	0
"msp_0013"	6276	8664	1356	23371	868	12532	1416	7435	30	19074	3342	1668	0	741	0	6694	370	476	2876	0	0	942	19758	22515	38	2759	26466	0	1102	3994	45727	0	8255	7389	3407	878	8153	0	33	7492	8947	365	927	5166	511	931	636	27005	0	473	8620	2186	1629	0	0	193	1976	0	405	5213	60984	4700	2980	8	427	66	1772	6357	882	609	1258
"msp_0014"	0	116	0	28	646	0	154	0	0	0	0	0	180	25	0	0	23	26	1577	0	24	14	13	56	4	34	13	13	0	1461	81	13	15	27	0	0	17	0	0	10	0	0	0	0	0	20	23	8	37	24	10	0	81	183	0	35	0	11	139	25	29	28	0	94	670	0	28	0	0	0	0
"msp_0015"	29647	47897	4853	6473	1285	23105	17798	1427	8389	55370	258	17546	36823	1962	8702	20757	3450	3184	0	35903	0	3815	27250	1482	33207	11464	24002	37074	207	12739	13801	16524	1204	12845	3617	19986	29342	5659	14912	15390	13545	1511	12668	1640	231	13291	17490	25500	89	259	24010	54274	8567	1780	10623	6683	21269	8741	1246	198	56	9382	13955	154	8973	35993	5476	5327	10212	7867	0
"msp_0016"	0	0	135	0	0	57696	0	191	7273	0	206	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	25	0	21066	0	0	0	0	206	0	0	0	0	15650	0	0	0	0	7006	0	50210	0	0	51	0	31	10	0	0	69	1649	22	30192	0	0	42	9618	0	0	0	0	0	11	30112	0	134037
"msp_0017"	3099	20395	13	227	0	801	0	4207	4845	12956	16920	10961	9521	948	882	45984	6214	36	602	0	0	1761	5756	232	20014	2521	9966	41	19141	191	13	702	5170	99	26	4085	442	13391	36	1560	32988	0	4737	1109	49	6777	3337	7331	32226	0	3242	72	1190	570	3099	57	62	14	133	598	16336	5470	0	0	97	7963	0	40198	13272	1413	14603
"msp_0018"	0	153	0	0	10	11	14	0	0	0	0	0	0	0	0	0	101	0	834	232	127	0	0	23	0	0	17	0	0	0	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	209	17	0	0	0	0	0	29	0	0	58	58	524	0	0	0	7	198	0	19	0	0	0
"msp_0020"	0	0	0	0	0	0	0	0	0	40	0	0	24	0	0	0	43	0	22	41	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	86	0	0	0	0	0	0
"msp_0021"	154	0	173	888	1641	5331	0	0	97	94	25	245	2925	935	178	155	522	131	0	1688	0	315	912	2794	0	0	584	63	0	153	1277	4565	0	769	170	282	2287	1449	75	0	0	861	347	102	0	72	1142	1717	1346	241	723	2789	1607	551	560	0	61	342	0	193	1798	0	1205	10781	10523	0	0	7290	2184	430	1307
"msp_0022"	0	23	9	0	0	29	0	74	0	0	1965	0	216	488	1528	3077	9590	25	0	1718	736	2083	0	4578	6	0	0	0	0	3804	0	0	0	390	356	0	0	0	0	0	0	1057	0	0	0	0	0	0	29129	306	5558	0	0	0	0	0	0	0	0	0	832	0	1402	0	890	7260	0	11176	0	0	0
"msp_0023"	1813	7	6	2309	3906	1343	0	9	14	1424	1204	712	4474	1985	1082	9	3594	231	8553	1669	951	3212	2769	4130	2318	1932	4017	16	1822	6579	5906	0	3216	1802	239	1002	4114	4016	2484	1482	15	651	2245	1359	0	305	0	1368	1280	1025	1415	3001	11	0	4906	0	343	327	2857	0	10	1417	2496	4751	19680	7040	2017	0	401	18	16
"msp_0024"	0	61	0	15	13	0	0	0	0	10	0	0	0	0	0	8	83	0	110	55	0	0	0	51	0	0	0	27	0	12	195	52	0	106	0	0	24	0	0	17	0	0	0	0	0	0	41	16	0	168	0	0	10	0	0	0	0	0	27	0	33	7	0	16	1304	16	0	17	0	0	0
"msp_0025"	2770	523	10	1799	137	2137	0	39	476	0	1160	148	0	12280	22	14	12236	2372	17	11696	5925	0	0	52932	255	3505	4593	3759	5815	19	1845	0	2308	0	0	116	0	22	5	111	0	8287	0	4897	0	33	0	244	1318	57910	9779	21	75	6274	265	23	15	0	13312	2971	2567	1907	14918	6821	0	0	17302	74	0	8279	0
"msp_0027"	5604	4371	5976	0	0	4191	7345	452	67	1178	3320	1164	5450	17	3197	12	4652	196	6027	3264	3577	945	4209	2731	5	22146	0	8306	665	0	3326	0	5459	2493	438	3358	5601	13105	2502	10654	4158	1538	503	1138	9	3168	0	3436	9974	39	0	10859	15915	777	11737	4140	751	2205	1560	3075	42	2247	1902	343	0	14	4959	23	1600	69	6133
