"file"	"condition"	"lab"	"A"
"s.1"	"A"	"lab3"	0
"s.2"	"A"	"lab3"	0
"s.3"	"A"	"lab3"	0
"s.5"	"A"	"lab3"	0
"s.8"	"A"	"lab3"	0
"s.12"	"A"	"lab3"	0
"s.18"	"A"	"lab3"	0
"s.23"	"A"	"lab3"	0
"s.25"	"A"	"lab3"	0
"s.28"	"A"	"lab3"	0
"s.30"	"A"	"lab3"	0
"s.31"	"A"	"lab3"	0
"s.33"	"A"	"lab3"	0
"s.34"	"A"	"lab3"	0
"s.37"	"A"	"lab3"	0
"s.38"	"A"	"lab3"	0
"s.39"	"A"	"lab3"	0
"s.47"	"A"	"lab3"	0
"s.48"	"A"	"lab3"	0
"s.51"	"A"	"lab3"	0
"s.57"	"A"	"lab3"	0
"s.60"	"A"	"lab3"	0
"s.61"	"A"	"lab3"	0
"s.62"	"A"	"lab3"	0
"s.64"	"A"	"lab3"	0
"s.68"	"A"	"lab3"	0
"s.69"	"A"	"lab3"	0
"s.72"	"A"	"lab3"	0
"s.73"	"A"	"lab3"	0
"s.77"	"A"	"lab3"	0
"s.78"	"A"	"lab3"	0
"s.83"	"A"	"lab3"	0
"s.87"	"A"	"lab3"	0
"s.89"	"A"	"lab3"	0
"s.93"	"A"	"lab3"	0
"s.96"	"A"	"lab3"	0
"s.100"	"A"	"lab3"	0
"s.102"	"A"	"lab3"	0
"s.103"	"A"	"lab3"	0
"s.105"	"A"	"lab3"	0
"s.107"	"A"	"lab3"	0
"s.111"	"A"	"lab3"	0
"s.115"	"A"	"lab3"	0
"s.119"	"A"	"lab3"	0
"s.124"	"A"	"lab3"	0
"s.126"	"A"	"lab3"	0
"s.128"	"A"	"lab3"	0
"s.140"	"A"	"lab3"	0
"s.145"	"A"	"lab3"	0
"s.146"	"A"	"lab3"	0
"s.148"	"A"	"lab3"	0
"s.149"	"A"	"lab3"	0
"s.155"	"A"	"lab3"	0
"s.161"	"A"	"lab3"	0
"s.162"	"A"	"lab3"	0
"s.163"	"A"	"lab3"	0
"s.165"	"A"	"lab3"	0
"s.171"	"A"	"lab3"	0
"s.172"	"A"	"lab3"	0
"s.173"	"A"	"lab3"	0
"s.174"	"A"	"lab3"	0
"s.176"	"A"	"lab3"	0
"s.177"	"A"	"lab3"	0
"s.180"	"A"	"lab3"	0
"s.183"	"A"	"lab3"	0
"s.186"	"A"	"lab3"	0
"s.194"	"A"	"lab3"	0
"s.195"	"A"	"lab3"	0
"s.196"	"A"	"lab3"	0
"s.197"	"A"	"lab3"	0
"s.198"	"A"	"lab3"	0
"s.200"	"A"	"lab3"	0
"s.202"	"A"	"lab3"	0
"s.207"	"A"	"lab3"	0
"s.208"	"A"	"lab3"	0
"s.211"	"A"	"lab3"	0
"s.212"	"A"	"lab3"	0
"s.214"	"A"	"lab3"	0
"s.216"	"A"	"lab3"	0
"s.217"	"A"	"lab3"	0
"s.223"	"A"	"lab3"	0
"s.227"	"A"	"lab3"	0
"s.230"	"A"	"lab3"	0
"s.240"	"A"	"lab3"	0
"s.249"	"A"	"lab3"	0
"s.250"	"A"	"lab3"	0
"s.251"	"A"	"lab3"	0
"s.253"	"A"	"lab3"	0
"s.259"	"A"	"lab3"	0
"s.261"	"A"	"lab3"	0
"s.268"	"A"	"lab3"	0
"s.271"	"A"	"lab3"	0
"s.272"	"A"	"lab3"	0
"s.276"	"A"	"lab3"	0
"s.277"	"A"	"lab3"	0
"s.278"	"A"	"lab3"	0
"s.282"	"A"	"lab3"	0
"s.284"	"A"	"lab3"	0
"s.291"	"A"	"lab3"	0
"s.300"	"A"	"lab3"	0
"s.301"	"B"	"lab3"	1
"s.304"	"B"	"lab3"	1
"s.309"	"B"	"lab3"	1
"s.310"	"B"	"lab3"	1
"s.312"	"B"	"lab3"	1
"s.313"	"B"	"lab3"	1
"s.315"	"B"	"lab3"	1
"s.316"	"B"	"lab3"	1
"s.317"	"B"	"lab3"	1
"s.319"	"B"	"lab3"	1
"s.323"	"B"	"lab3"	1
"s.324"	"B"	"lab3"	1
"s.326"	"B"	"lab3"	1
"s.328"	"B"	"lab3"	1
"s.331"	"B"	"lab3"	1
"s.333"	"B"	"lab3"	1
"s.334"	"B"	"lab3"	1
"s.345"	"B"	"lab3"	1
"s.359"	"B"	"lab3"	1
"s.362"	"B"	"lab3"	1
"s.364"	"B"	"lab3"	1
"s.370"	"B"	"lab3"	1
"s.372"	"B"	"lab3"	1
"s.374"	"B"	"lab3"	1
"s.375"	"B"	"lab3"	1
"s.376"	"B"	"lab3"	1
"s.379"	"B"	"lab3"	1
"s.381"	"B"	"lab3"	1
"s.389"	"B"	"lab3"	1
"s.392"	"B"	"lab3"	1
"s.398"	"B"	"lab3"	1
"s.400"	"B"	"lab3"	1
"s.408"	"B"	"lab3"	1
"s.411"	"B"	"lab3"	1
"s.413"	"B"	"lab3"	1
"s.414"	"B"	"lab3"	1
"s.418"	"B"	"lab3"	1
"s.420"	"B"	"lab3"	1
"s.422"	"B"	"lab3"	1
"s.424"	"B"	"lab3"	1
"s.425"	"B"	"lab3"	1
"s.426"	"B"	"lab3"	1
"s.448"	"B"	"lab3"	1
"s.450"	"B"	"lab3"	1
"s.453"	"B"	"lab3"	1
"s.455"	"B"	"lab3"	1
"s.460"	"B"	"lab3"	1
"s.464"	"B"	"lab3"	1
"s.465"	"B"	"lab3"	1
"s.466"	"B"	"lab3"	1
"s.470"	"B"	"lab3"	1
"s.471"	"B"	"lab3"	1
"s.472"	"B"	"lab3"	1
"s.473"	"B"	"lab3"	1
"s.474"	"B"	"lab3"	1
"s.475"	"B"	"lab3"	1
"s.476"	"B"	"lab3"	1
"s.485"	"B"	"lab3"	1
"s.486"	"B"	"lab3"	1
"s.487"	"B"	"lab3"	1
"s.490"	"B"	"lab3"	1
"s.493"	"B"	"lab3"	1
"s.498"	"B"	"lab3"	1
"s.500"	"B"	"lab3"	1
"s.501"	"B"	"lab3"	1
"s.505"	"B"	"lab3"	1
"s.506"	"B"	"lab3"	1
"s.509"	"B"	"lab3"	1
"s.512"	"B"	"lab3"	1
"s.513"	"B"	"lab3"	1
"s.516"	"B"	"lab3"	1
"s.519"	"B"	"lab3"	1
"s.520"	"B"	"lab3"	1
"s.522"	"B"	"lab3"	1
"s.526"	"B"	"lab3"	1
"s.529"	"B"	"lab3"	1
"s.540"	"B"	"lab3"	1
"s.541"	"B"	"lab3"	1
"s.543"	"B"	"lab3"	1
"s.546"	"B"	"lab3"	1
"s.547"	"B"	"lab3"	1
"s.550"	"B"	"lab3"	1
"s.553"	"B"	"lab3"	1
"s.556"	"B"	"lab3"	1
"s.557"	"B"	"lab3"	1
"s.558"	"B"	"lab3"	1
"s.559"	"B"	"lab3"	1
"s.561"	"B"	"lab3"	1
"s.565"	"B"	"lab3"	1
"s.566"	"B"	"lab3"	1
"s.568"	"B"	"lab3"	1
"s.573"	"B"	"lab3"	1
"s.577"	"B"	"lab3"	1
"s.579"	"B"	"lab3"	1
"s.580"	"B"	"lab3"	1
"s.589"	"B"	"lab3"	1
"s.590"	"B"	"lab3"	1
"s.594"	"B"	"lab3"	1
"s.596"	"B"	"lab3"	1
"s.597"	"B"	"lab3"	1
