file	condition	lab	A
s.1	A	lab2	0
s.2	A	lab2	0
s.9	A	lab2	0
s.10	A	lab2	0
s.12	A	lab2	0
s.16	A	lab2	0
s.17	A	lab2	0
s.18	A	lab2	0
s.25	A	lab2	0
s.39	A	lab2	0
s.48	A	lab2	0
s.49	A	lab2	0
s.56	A	lab2	0
s.59	A	lab2	0
s.60	A	lab2	0
s.63	A	lab2	0
s.66	A	lab2	0
s.70	A	lab2	0
s.71	A	lab2	0
s.72	A	lab2	0
s.75	A	lab2	0
s.76	A	lab2	0
s.80	A	lab2	0
s.88	A	lab2	0
s.90	A	lab2	0
s.93	A	lab2	0
s.95	A	lab2	0
s.100	A	lab2	0
s.103	A	lab2	0
s.104	A	lab2	0
s.108	A	lab2	0
s.111	A	lab2	0
s.114	A	lab2	0
s.128	A	lab2	0
s.131	A	lab2	0
s.132	A	lab2	0
s.133	A	lab2	0
s.134	A	lab2	0
s.137	A	lab2	0
s.140	A	lab2	0
s.141	A	lab2	0
s.142	A	lab2	0
s.143	A	lab2	0
s.144	A	lab2	0
s.148	A	lab2	0
s.153	A	lab2	0
s.155	A	lab2	0
s.157	A	lab2	0
s.160	A	lab2	0
s.162	A	lab2	0
s.164	A	lab2	0
s.165	A	lab2	0
s.166	A	lab2	0
s.167	A	lab2	0
s.168	A	lab2	0
s.173	A	lab2	0
s.174	A	lab2	0
s.175	A	lab2	0
s.176	A	lab2	0
s.181	A	lab2	0
s.187	A	lab2	0
s.190	A	lab2	0
s.191	A	lab2	0
s.199	A	lab2	0
s.204	A	lab2	0
s.207	A	lab2	0
s.215	A	lab2	0
s.216	A	lab2	0
s.217	A	lab2	0
s.219	A	lab2	0
s.220	A	lab2	0
s.221	A	lab2	0
s.224	A	lab2	0
s.226	A	lab2	0
s.232	A	lab2	0
s.233	A	lab2	0
s.235	A	lab2	0
s.242	A	lab2	0
s.243	A	lab2	0
s.244	A	lab2	0
s.247	A	lab2	0
s.249	A	lab2	0
s.252	A	lab2	0
s.254	A	lab2	0
s.256	A	lab2	0
s.257	A	lab2	0
s.262	A	lab2	0
s.263	A	lab2	0
s.264	A	lab2	0
s.268	A	lab2	0
s.273	A	lab2	0
s.276	A	lab2	0
s.279	A	lab2	0
s.280	A	lab2	0
s.284	A	lab2	0
s.286	A	lab2	0
s.287	A	lab2	0
s.290	A	lab2	0
s.294	A	lab2	0
s.298	A	lab2	0
s.308	B	lab2	1
s.312	B	lab2	1
s.313	B	lab2	1
s.318	B	lab2	1
s.320	B	lab2	1
s.324	B	lab2	1
s.325	B	lab2	1
s.327	B	lab2	1
s.333	B	lab2	1
s.338	B	lab2	1
s.339	B	lab2	1
s.340	B	lab2	1
s.342	B	lab2	1
s.345	B	lab2	1
s.348	B	lab2	1
s.349	B	lab2	1
s.350	B	lab2	1
s.351	B	lab2	1
s.353	B	lab2	1
s.355	B	lab2	1
s.356	B	lab2	1
s.359	B	lab2	1
s.360	B	lab2	1
s.363	B	lab2	1
s.364	B	lab2	1
s.367	B	lab2	1
s.370	B	lab2	1
s.378	B	lab2	1
s.382	B	lab2	1
s.385	B	lab2	1
s.386	B	lab2	1
s.390	B	lab2	1
s.397	B	lab2	1
s.398	B	lab2	1
s.401	B	lab2	1
s.404	B	lab2	1
s.405	B	lab2	1
s.406	B	lab2	1
s.407	B	lab2	1
s.415	B	lab2	1
s.417	B	lab2	1
s.423	B	lab2	1
s.425	B	lab2	1
s.432	B	lab2	1
s.437	B	lab2	1
s.440	B	lab2	1
s.443	B	lab2	1
s.444	B	lab2	1
s.447	B	lab2	1
s.453	B	lab2	1
s.454	B	lab2	1
s.455	B	lab2	1
s.457	B	lab2	1
s.460	B	lab2	1
s.462	B	lab2	1
s.463	B	lab2	1
s.466	B	lab2	1
s.467	B	lab2	1
s.471	B	lab2	1
s.478	B	lab2	1
s.484	B	lab2	1
s.486	B	lab2	1
s.490	B	lab2	1
s.493	B	lab2	1
s.495	B	lab2	1
s.497	B	lab2	1
s.498	B	lab2	1
s.499	B	lab2	1
s.500	B	lab2	1
s.505	B	lab2	1
s.516	B	lab2	1
s.518	B	lab2	1
s.525	B	lab2	1
s.527	B	lab2	1
s.532	B	lab2	1
s.534	B	lab2	1
s.535	B	lab2	1
s.536	B	lab2	1
s.545	B	lab2	1
s.546	B	lab2	1
s.553	B	lab2	1
s.555	B	lab2	1
s.558	B	lab2	1
s.559	B	lab2	1
s.562	B	lab2	1
s.563	B	lab2	1
s.564	B	lab2	1
s.565	B	lab2	1
s.566	B	lab2	1
s.570	B	lab2	1
s.571	B	lab2	1
s.574	B	lab2	1
s.577	B	lab2	1
s.578	B	lab2	1
s.582	B	lab2	1
s.584	B	lab2	1
s.586	B	lab2	1
s.588	B	lab2	1
s.593	B	lab2	1
s.594	B	lab2	1
