"file"	"condition"	"lab"	"A"
"s.2"	"A"	"lab2"	0
"s.9"	"A"	"lab2"	0
"s.13"	"A"	"lab2"	0
"s.14"	"A"	"lab2"	0
"s.15"	"A"	"lab2"	0
"s.16"	"A"	"lab2"	0
"s.18"	"A"	"lab2"	0
"s.20"	"A"	"lab2"	0
"s.26"	"A"	"lab2"	0
"s.27"	"A"	"lab2"	0
"s.28"	"A"	"lab2"	0
"s.30"	"A"	"lab2"	0
"s.31"	"A"	"lab2"	0
"s.35"	"A"	"lab2"	0
"s.40"	"A"	"lab2"	0
"s.41"	"A"	"lab2"	0
"s.42"	"A"	"lab2"	0
"s.43"	"A"	"lab2"	0
"s.45"	"A"	"lab2"	0
"s.48"	"A"	"lab2"	0
"s.50"	"A"	"lab2"	0
"s.51"	"A"	"lab2"	0
"s.54"	"A"	"lab2"	0
"s.56"	"A"	"lab2"	0
"s.58"	"A"	"lab2"	0
"s.61"	"A"	"lab2"	0
"s.64"	"A"	"lab2"	0
"s.68"	"A"	"lab2"	0
"s.69"	"A"	"lab2"	0
"s.70"	"A"	"lab2"	0
"s.71"	"A"	"lab2"	0
"s.73"	"A"	"lab2"	0
"s.76"	"A"	"lab2"	0
"s.82"	"A"	"lab2"	0
"s.84"	"A"	"lab2"	0
"s.89"	"A"	"lab2"	0
"s.91"	"A"	"lab2"	0
"s.99"	"A"	"lab2"	0
"s.102"	"A"	"lab2"	0
"s.105"	"A"	"lab2"	0
"s.112"	"A"	"lab2"	0
"s.113"	"A"	"lab2"	0
"s.118"	"A"	"lab2"	0
"s.119"	"A"	"lab2"	0
"s.121"	"A"	"lab2"	0
"s.124"	"A"	"lab2"	0
"s.126"	"A"	"lab2"	0
"s.129"	"A"	"lab2"	0
"s.134"	"A"	"lab2"	0
"s.141"	"A"	"lab2"	0
"s.142"	"A"	"lab2"	0
"s.153"	"A"	"lab2"	0
"s.160"	"A"	"lab2"	0
"s.162"	"A"	"lab2"	0
"s.164"	"A"	"lab2"	0
"s.165"	"A"	"lab2"	0
"s.166"	"A"	"lab2"	0
"s.169"	"A"	"lab2"	0
"s.170"	"A"	"lab2"	0
"s.172"	"A"	"lab2"	0
"s.173"	"A"	"lab2"	0
"s.176"	"A"	"lab2"	0
"s.178"	"A"	"lab2"	0
"s.185"	"A"	"lab2"	0
"s.191"	"A"	"lab2"	0
"s.193"	"A"	"lab2"	0
"s.196"	"A"	"lab2"	0
"s.197"	"A"	"lab2"	0
"s.203"	"A"	"lab2"	0
"s.209"	"A"	"lab2"	0
"s.210"	"A"	"lab2"	0
"s.215"	"A"	"lab2"	0
"s.216"	"A"	"lab2"	0
"s.221"	"A"	"lab2"	0
"s.222"	"A"	"lab2"	0
"s.227"	"A"	"lab2"	0
"s.229"	"A"	"lab2"	0
"s.236"	"A"	"lab2"	0
"s.252"	"A"	"lab2"	0
"s.257"	"A"	"lab2"	0
"s.274"	"A"	"lab2"	0
"s.284"	"A"	"lab2"	0
"s.288"	"A"	"lab2"	0
"s.290"	"A"	"lab2"	0
"s.294"	"A"	"lab2"	0
"s.296"	"A"	"lab2"	0
"s.297"	"A"	"lab2"	0
"s.298"	"A"	"lab2"	0
"s.301"	"A"	"lab2"	0
"s.306"	"A"	"lab2"	0
"s.309"	"A"	"lab2"	0
"s.318"	"B"	"lab2"	1
"s.319"	"B"	"lab2"	1
"s.321"	"B"	"lab2"	1
"s.327"	"B"	"lab2"	1
"s.338"	"B"	"lab2"	1
"s.348"	"B"	"lab2"	1
"s.374"	"B"	"lab2"	1
"s.376"	"B"	"lab2"	1
"s.379"	"B"	"lab2"	1
"s.385"	"B"	"lab2"	1
"s.386"	"B"	"lab2"	1
"s.387"	"B"	"lab2"	1
"s.411"	"B"	"lab2"	1
"s.425"	"B"	"lab2"	1
"s.427"	"B"	"lab2"	1
"s.439"	"B"	"lab2"	1
"s.443"	"B"	"lab2"	1
"s.444"	"B"	"lab2"	1
"s.448"	"B"	"lab2"	1
"s.449"	"B"	"lab2"	1
"s.451"	"B"	"lab2"	1
"s.453"	"B"	"lab2"	1
"s.458"	"B"	"lab2"	1
"s.465"	"B"	"lab2"	1
"s.469"	"B"	"lab2"	1
"s.482"	"B"	"lab2"	1
"s.484"	"B"	"lab2"	1
"s.487"	"B"	"lab2"	1
"s.493"	"B"	"lab2"	1
"s.498"	"B"	"lab2"	1
"s.499"	"B"	"lab2"	1
"s.500"	"B"	"lab2"	1
"s.517"	"B"	"lab2"	1
"s.521"	"B"	"lab2"	1
"s.524"	"B"	"lab2"	1
"s.527"	"B"	"lab2"	1
"s.530"	"B"	"lab2"	1
"s.535"	"B"	"lab2"	1
"s.538"	"B"	"lab2"	1
"s.550"	"B"	"lab2"	1
"s.551"	"B"	"lab2"	1
"s.556"	"B"	"lab2"	1
"s.562"	"B"	"lab2"	1
"s.573"	"B"	"lab2"	1
"s.578"	"B"	"lab2"	1
"s.581"	"B"	"lab2"	1
"s.585"	"B"	"lab2"	1
"s.589"	"B"	"lab2"	1
"s.594"	"B"	"lab2"	1
